age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit
59,admin.,married,secondary,no,2288,yes,0,unknown,1021,1,-1,0,unknown,yes
56,admin.,married,secondary,no,469,no,0,unknown,1283,1,-1,0,unknown,yes
41,technician,married,secondary,no,1618,yes,0,unknown,1246,1,-1,0,unknown,yes
55,services,married,secondary,no,2356,yes,0,unknown,577,1,-1,0,unknown,yes
54,admin.,married,tertiary,no,608,no,0,unknown,671,2,-1,0,unknown,yes
42,management,single,tertiary,no,424,yes,1,unknown,560,2,-1,0,unknown,yes
56,management,married,tertiary,no,1241,yes,1,unknown,1140,1,-1,0,unknown,yes
60,retired,divorced,secondary,no,968,yes,0,unknown,1009,1,-1,0,unknown,yes
37,technician,married,secondary,no,425,yes,0,unknown,606,1,-1,0,unknown,yes
28,services,single,secondary,no,3202,yes,0,unknown,1197,3,-1,0,unknown,yes
38,admin.,single,secondary,no,524,yes,0,unknown,782,1,-1,0,unknown,yes
30,blue-collar,married,secondary,no,733,yes,0,unknown,1326,2,-1,0,unknown,yes
29,management,married,tertiary,no,623,yes,1,unknown,1354,4,-1,0,unknown,yes
46,blue-collar,single,tertiary,no,883,yes,0,unknown,1069,2,-1,0,unknown,yes
31,technician,single,tertiary,no,1121,yes,0,unknown,932,2,-1,0,unknown,yes
35,management,divorced,tertiary,no,2901,yes,0,unknown,1052,1,-1,0,unknown,yes
32,blue-collar,single,primary,no,1034,yes,0,unknown,539,3,-1,0,unknown,yes
49,services,married,secondary,no,417,yes,0,unknown,1081,1,-1,0,unknown,yes
41,admin.,married,secondary,no,479,yes,0,unknown,1082,2,-1,0,unknown,yes
49,admin.,divorced,secondary,no,592,yes,1,unknown,511,1,-1,0,unknown,yes
28,admin.,divorced,secondary,no,1199,yes,0,unknown,440,2,-1,0,unknown,yes
43,management,single,tertiary,no,2152,yes,0,unknown,753,1,-1,0,unknown,yes
43,management,divorced,tertiary,no,811,yes,0,unknown,1404,2,-1,0,unknown,yes
43,blue-collar,married,primary,no,279,yes,0,unknown,1082,2,-1,0,unknown,yes
37,unemployed,single,secondary,no,804,yes,0,unknown,971,2,-1,0,unknown,yes
35,blue-collar,single,secondary,no,464,yes,0,unknown,615,4,-1,0,unknown,yes
31,technician,single,tertiary,no,446,yes,0,unknown,481,3,-1,0,unknown,yes
43,blue-collar,single,secondary,no,427,yes,0,unknown,920,3,-1,0,unknown,yes
31,admin.,married,secondary,no,731,yes,0,unknown,536,1,-1,0,unknown,yes
28,blue-collar,single,secondary,no,1174,yes,0,unknown,708,1,-1,0,unknown,yes
32,blue-collar,married,secondary,yes,423,yes,0,unknown,651,1,-1,0,unknown,yes
60,technician,married,primary,no,489,yes,0,unknown,1007,2,-1,0,unknown,yes
26,blue-collar,single,secondary,no,506,yes,0,unknown,652,1,-1,0,unknown,yes
40,blue-collar,married,secondary,no,434,yes,0,unknown,1356,2,-1,0,unknown,yes
33,blue-collar,divorced,primary,no,813,yes,0,unknown,663,2,-1,0,unknown,yes
32,management,single,tertiary,no,735,no,0,unknown,754,2,-1,0,unknown,yes
